Name,Source URL
chef_icinga2_handler,https://github.com/cyberflow/chef_icinga2_handler
chef-imagemagick,https://github.com/wbotelhos/chef-imagemagick
chef-ingredient,https://github.com/chef-cookbooks/chef-ingredient
chef_initramfs,https://github.com/vtolstov/chef_initramfs
chef-install,https://github.com/NRhzhao/chef-install
chef_install_configure_collectd,https://github.com/signalfx/chef_install_configure_collectd
chef-jellyfish,https://github.com/projectjellyfish/chef-jellyfish
chef_jenkins,https://github.com/ndobson/chef_jenkins
chefknife,https://github.com/jackl0phty/opschef-cookbook-chefknife
chef-lacework,https://github.com/lacework/chef-lacework
chef_libvirt,https://github.com/vtolstov/cb-libvirt
chef-lighttpd,https://github.com/ctdk/chef-lighttpd
chef-mailcatcher,https://github.com/kgrubb/chef-mailcatcher
chef-manageiq,https://github.com/projectjellyfish/chef-jellyfish
chef-maven,https://github.com/trueCii/chef-maven
chef-metadata,https://github.com/sbotman/chef-metadata
chef_openvswitch,https://github.com/vtolstov/chef_openvswitch
chef_profiled,https://github.com/MelonSmasher/chef_profiled
chef-provisioning-aws-helper,https://github.com/irvingpop/chef-provisioning-aws-helper
chef-provisioning-vagrant-helper,https://github.com/irvingpop/chef-provisioning-vagrant-helper
chef-rebar3,https://github.com/joergen7/chef-rebar3
chef-rsyslog,https://github.com/wbotelhos/chef-rsyslog
chef-ruby,https://github.com/wbotelhos/chef-ruby
chef_run_recorder,https://github.com/ualaska-it/chef_run_recorder
chef-sbt,https://github.com/farmdawgnation/chef-sbt
chef-secrets,https://github.com/criteo-cookbooks/chef-secrets
chef-sentry-handler,https://github.com/johnbellone/chef-sentry-handler
chef-server,https://github.com/chef-cookbooks/chef-server
chef-server-rds,https://github.com/50onRed/chef-server-rds.git
chef_sheepdog,https://github.com/vtolstov/chef_sheepdog
chef-sidekiq,https://github.com/wbotelhos/chef-sidekiq
chef_software,https://github.com/Stromweld/chef_software
chef-solo-search,https://github.com/edelight/chef-solo-search
chef-sourcemod,https://github.com/f0rkz/chef-sourcemod
chef-splunk,https://github.com/sous-chefs/chef-splunk
chef-splunk-windows,https://github.com/biola/chef-splunk-windows
chef-steamcmd,https://github.com/f0rkz/chef-steamcmd
chef_systemd,https://github.com/vtolstov/chef_systemd
chef-unicorn,https://github.com/wbotelhos/chef-unicorn
chef_vault_pki,https://github.com/zeroXten/chef_vault_pki
chef_vault_retry,https://github.com/biola/chef_vault_retry
chef_vault_testfixtures,https://github.com/Nordstrom/chef_vault_testfixtures_cookbook
chef_vault_try_notify,https://github.com/Nordstrom/chef_vault_try_notify_cb
chef-waiter,https://github.com/morfien101/chef-waiter-cookbook
chef_wazuh,https://github.com/MelonSmasher/chef_wazuh
chef_work_environment,https://github.com/tecracer-chef/chef_work_environment
chef-zero,https://github.com/sethvargo-cookbooks/chef-zero
chef_zfs,https://github.com/chef-cookbooks/chef_zfs
chef_zpool,https://github.com/chef-cookbooks/chef_zpool
chgems,http://fnichol.github.io/chef-chgems/
chocolatey,https://github.com/chocolatey/chocolatey-cookbook
chocolatey-installer,https://github.com/joefitzgerald/chocolatey-installer
chocolatey-ohai-plugin,https://github.com/zl4bv/chocolatey-ohai-plugin
